image_id,description
1170,"The dhotipants by N\A is a solid pink garment made of a soft and comfortable fabric. The fabric has a subtle texture, giving it a slightly rough feel. The garment features a simple and elegant design, with no intricate patterns or embossed details. The silhouettes of the dhotis are well-fitted, providing a snug and flattering fit. The neckline is high, adding a touch of modesty to the overall look. The sleeve length is short, allowing for ease of movement and a more relaxed appearance. The dhrona dhotips are a versatile and stylish addition to any wardrobe."
7377,"The garment is a red women's cotton key print kurti with a matching palazzo set. The kurti features a unique key pattern embroidered on the fabric, giving it a stylish and eye-catching appearance. The neckline is a simple round neck, while the sleeve style is long and flowing, adding to the overall elegance of the outfit. The palazzo pants are also made of cotton and have a comfortable and relaxed fit. The combination of the red color, key pattern, and flowy silhouettes make this outfit a perfect choice for a stylistic and comfortable wardrobe."
694,"The garment is a short sleeve blouse made from a combination of South Cotten and Ikkats fabrics. The blouse features a boat neckline and is adorned with hand embroidered patterns, giving it a unique and artistic touch. The fabric is orange in color, and the blouse has a flowing silhouettes that adds to its elegance. The short sleevess and the overall design make it a versatile and stylish piece that can be worn in various settings."
2070,"The garment is a beautiful yellow gown, featuring a printed glace cotton fabric. The fabric is unstitch, which means it is ready to be tailored to the wearer's preferences. The gown has a flowing silhouettes, giving it a graceful and elegant appearance. The neckline is high, adding a touch of sophistication to the overall design. The sleeve style is long, providing coverage and a sense of comfort. The length of the gown is floor-length, making it suitable for formal occasions or special events. The pattern on the fabric consists of a beautiful floral design, adding visual interest and a touch a color to the gorgeous yellow hue."
147,"The garment is a maroon silk blend woven Banarsi saree for women. It features a beautiful pattern or intricate embroidered design, which adds to its visual appeal. The saree has a long length, making it suitable for various occasions. The neckline is adorned with a delicate detail, enhancing its overall aesthetic. The sleeve style is draped, giving it a graceful and elegant appearance. The fabric appears to be of high quality, with a silky texture that complements the rich color of the saree."
2805,"The garment is a long-sleeved, straight-cut, solid red cotton blend kurta. It features a simple, clean design with no intricate patterns or embossed details. The neckline is a standard, round neck, and the sleeve length extends down to the wrist. The fabric appears to be a comfortable and breathable cotton-blend material, suitable for warm weather or casual wear. The overall silhouettes of the garments are loose and flowing, providing a relaxed and comfortable fit."
78,"The garment is a beautiful blue and white saree with a gold border. The saree features a unique pattern of gold dots on a blue background, giving it a stylish and elegant appearance. The fabric appears to be silk, adding a touch of luxury to the overall look. The neckline is a simple yet elegant design, while the sleeve style is a traditional drape, which complements the saree's classic aesthetic. The length of the sare is floor-length, making it suitable for formal occasions or special events."
7336,"The garment is a red and white outfit, featuring a long-sleeved shirt and matching pants. The shirt has a stylish neckline and is made of a comfortable fabric, possibly silk or satin. The pants are also long and complement the shirt, creating a cohesive and fashionable look. The outfit is designed to be worn by women and is suitable for various occasions, such as casual gatherings or formal events."
2903,"The garment is a men's cotton mid-length kurta, featuring a white color with a pattern of black and grey stripes. The fabric appears to be lightweight and comfortable, suitable for warm weather or casual wear. The neckline is a simple round neck, while the sleeve style is long and loose, providing ample coverage and movement. The length of the kurta reaches the mid-thigh, offering a modest yet stylish appearance. The overall silhouettes of the garments are slim-fit, accentuating the wearer's figure."
6675,"The garment is a yellow sherwani, featuring a silk fabric with a subtle pattern. The sherwaani has a long, flowing silhouettes and a traditional neckline. The sleeve style is a combination of a draped and fitted design, giving it a unique and elegant appearance. The length of the sherawani reaches down to the ankles, providing a full-length coverage. The overall look of the garmet is enhanced by the presence of a pocket on the front, adding a touch of sophistication to the design."
5931,"The garment is a pair of black palazzpants, featuring a unique design on the hem. The fabric appears to be a combination of cotton and linen, giving it a comfortable and stylish feel. The pants have a flared silhouettes, adding a touch of elegance to the overall look. The neckline is high, and the sleeve style is long, providing coverage and a flattering fit. The length of the pants is midi, making them suitable for various occasions. The embroidered design on hem adds a touch sophistication and visual interest to the garmet."
5632,"The garment is a pair of turquoises printed rayons palazzo pants. The fabric is lightweight and comfortable, making it suitable for warm weather. The pants feature a unique pattern that adds visual interest to the outfit. The silhouettes are loose and flowy, giving the pants a relaxed and stylish appearance. The neckline is high, and the sleeve style is long, adding a touch of elegance to the overall look. The length of the pant is ankle-length, and there are no special accent or embbellishments on the garments."
372,"The garment is a pink and blue saree made from a blend of silk and banarasi fabric. The saree features a kanchipura jacquard weave, giving it a unique and intricate pattern. The neckline is a simple, elegant design, while the sleeve style is a traditional drape. The length of the saree is suitable for a woman's full-length garment. The combination of pink, blue, and white colors creates a visually appealing and vibrant appearance."
1448,"The garment is a pair of blue dhotis, which are a type of loose pants. They are made of cotton and have a patiala style, featuring a wide, flowing silhouettes that are perfect for a comfortable and stylish look. The neckline is a simple, round neckline that complements the overall design. The sleeve style is long, adding to the flowing nature of the pants, and the length of the dhoties is ankle-length. The pants are available in a pack of one, making them a versatile and practical choice for any wardrobe."
1124,"The garment is a pair of orange dhotis, which are traditional Indian men's pants. They are made of cotton and have a solid color, giving them a vibrant and eye-catching appearance. The dhoties are designed with a unique pattern or fabric, featuring a gold border that adds an elegant touch to the overall look. The silhouettes of the dhotys are long and flowing, providing a comfortable and stylish fit. The neckline is high, and the pants have a loose drape, allowing for ease of movement. The length of the pant legs is long, reaching down to the ankles, and they are suitable for both formal and casual occasions."
5298,"The garment is a white jacket with a black collar and cuffs. It has a single button on the front, giving it a classic and elegant appearance. The jacket is made of a lightweight fabric, suitable for warmer weather or as a layering piece. The silhouettes of the jacket are slim-fit, providing a modern and stylish look. The neckline is high, adding a touch of sophistication to the overall design. The sleeve length is short, allowing for ease of movement and a more relaxed fit."
2797,"The garment is a white men's tunic shirt, featuring a polka dot pattern on a white background. The fabric appears to be lightweight and comfortable, suitable for warm weather or casual wear. The neckline is a simple round neck, while the sleeve style is long and loose, giving the shirt a relaxed and stylish appearance. The tunic has a generous length, reaching down to the mid-thigh, and is designed to be worn with white pants. The combination of the polka dots and the white color creates a visually appealing and classic look, making it an ideal choice for various occasions."
2860,"The garment is a men's cotton slim fit casual short kurta, featuring a light blue color. The fabric appears to be of a smooth and comfortable texture, suitable for everyday wear. The neckline is a simple, round neck, while the sleeve style is short, adding a casual touch to the overall look. The silhouettes of the kurta are slim-fitting, providing a modern and stylish appearance. The length of the garmet is short and reaches the waist, making it an ideal choice for a casually dressed look."
3677,"The garment is a blue and red lehnga, featuring a beautiful floral pattern on the skirt. The lehgna is paired with a matching blouse, creating a harmonious and eye-catching outfit. The skirt is made of a lightweight and comfortable fabric, perfect for warm weather or special occasions. The neckline is a simple yet elegant design, while the sleeve style is a classic, long drape. The length of the skit is midi, providing a modest yet stylish appearance. The combination of the vibrant colors and intricate floral embroidered pattern make this lehghna a standout piece in any wardrobe."
6796,"The garment is a beige and brown self-design sherwani, featuring a unique combination of colors and patterns. The fabric appears to be a blend of materials, with a touch of embroidered detailing. The sherwaani has a distinctive silhouettes, with the front and back pieces coming together to create a cohesive look. The neckline is high, adding a touch sophistication to the overall design. The sleeve style is long, with an elegant drape that complements the overall shape of the garmet. The length of the sherawani is knee-length, making it suitable for both formal and semi-formal occasions."
1096,"The garment is a cream-colored dhotis with a gold zari border. The fabric appears to be made of cotton, giving it a soft and comfortable feel. The dhoties have a simple and elegant design, featuring a gold border that adds a touch of sophistication to the overall appearance. The silhouettes of the dhotys are loose and flowing, providing a comfortable fit for the wearer. The neckline is wide, and the sleeve style is long, adding to the relaxed and comfortable nature of the garments."
1305,"The garment is a loose-fitting dhotipant, featuring a gold color and a free size. It is made of a comfortable fabric, possibly silk, and has a flowing silhouettes that adds a touch of elegance to the outfit. The neckline is a simple, round neck, while the sleeve style is a short, loose drape that complements the overall design. The length of the garments is long, reaching down to the ankles, and it is adorned with intricate embroidered patterns that add a touch sophistication to the ensemble."
1381,"The garment is a white dhotipant, featuring a gold border. The fabric appears to be silk, giving it a luxurious and elegant feel. The dhotis have a unique design, with a gold stripe running down the center of each leg. The pants are long, reaching down to the ankles, and have a comfortable fit. The combination of white and gold colors creates a sophisticated and stylish appearance, making it an attractive choice for formal or special occasions."
3346,"The garment is a pair of beige legging-style pants, featuring a loose and comfortable fit. The fabric appears to be lightweight and breathable, making it suitable for warm weather or casual wear. The pants have a straight silhouettes and a wide-legged design, giving them a relaxed and stylish appearance. The neckline is high, and the pants are long, reaching down to the ankles. There are no special accent or embbellishments on the pant, keeping the focus on their simple yet elegant design."
2399,"The garment is a long, elegant a-lined dress made of silk material. The dress features a deep maroon color, giving it a luxurious and sophisticated appearance. The neckline is a simple yet elegant design, complementing the overall silhouettes of the dress. The sleeve style is short, adding a touch of modernity to the classic a-liner. The length of the gown is floor-length, making it suitable for formal occasions or special events. The overall design of the garmet is accentuated by the intricate embroidered details, adding an extra layer of visual interest and refinement to the dress's appearance."
3251,"The garment is a pair of black legging pants, featuring a unique design with a slit in the front. The fabric appears to be a combination of cotton and spandex, providing both comfort and a snug fit. The leggins have a wide waistband and ankle length, making them suitable for various occasions. The slit adds a stylish touch to the overall appearance of the pants."
3485,"The garment is a yellow cotton Pujabi Patila salwar with a matching dupatta combo. The salwar features a loose and comfortable fit, with a wide-legged silhouettes that adds a touch of elegance to the outfit. The dupatta is a long, flowing scarf that can be draped over the shoulder or wrapped around the body, adding a stylish and versatile element to the ensemble. The neckline is a simple, round neckline that complements the overall design of the salwar. The fabric is soft and lightweight, making it perfect for warm weather or casual wear."
7259,"The garment is a white, long-sleeved, mandarin collar shirt. It features a solid color and a simple, elegant design. The neckline is high, and the sleeve length is long, providing a comfortable fit. The shirt is made of a lightweight, breathable fabric, suitable for warm weather or casual wear. The overall silhouettes of the shirt are loose and flowing, creating a relaxed and comfortable appearance."
3951,"The garment is a yellow lehnga, featuring a net and ro silk fabric. The lehnda is semi-stiched and comes with a blouse piece. The outfit is adorned with embroidered patterns, giving it a stylish and elegant appearance. The neckline is a sweetheart style, and the sleeve style is long, adding a touch of sophistication to the overall look. The length of the lehenda is floor-length, making it suitable for special occasions and events. The combination of the yellow color, intricate embroideries, and elegant design make this lehendga a beautiful and eye-catching piece."
2168,"The garment is a purple straight cut printed gown made of rayon. The fabric has a patterned design, giving it a stylish and elegant appearance. The gown features a unique neckline that adds to its overall charm. The sleeve style is long, and the gown has a flowing silhouettes that enhances its gracefulness. The length of the gowned reaches down to the ankles, providing a modest yet fashionable look. The combination of the purple color and the intricate pattern make this gown a standout piece in any wardrobe."
6944,"The garment is a black dress shirt, featuring a unique design with gold embroidered patterns on the front. The shirt is made of a luxurious fabric, giving it a sophisticated and elegant appearance. The neckline is a classic collar, and the sleeve style is long, adding to the overall formality of the shirt. The length of the garmet is long-sleeved, reaching down to the mid-thigh area. The combination of the black color, gold embellishment, and long sleeved design make this shirt a stylish and eye-catching piece."
594,"The garment is a green blouse made of silk material. It features a beautiful embroidered pattern, giving it a stylish and elegant appearance. The blouse has a round neckline and long sleeve, adding to its overall charm. The silhouettes of the blouse are well-fitted, accentuating the wearer's figure. The neckline is adorned with a string of pearls, adding a touch of sophistication to the overall look. The length of the garmet is midi, making it suitable for various occasions and styles."
2582,"The garment is a men's regular tunic shirt, made of light pink fabric. It features a simple and elegant design, with a round neckline and long sleeve. The tunic has a comfortable and relaxed silhouettes, making it suitable for various occasions. The fabric appears to be of good quality, with no visible patterns or embossed designs. The overall appearance of the garmet is clean and minimalistic, making the light pinks color stand out as the main focal point."
7261,"The garment is a blue women's crepe A line kurta, featuring a patterned design. The fabric appears to be of a silky texture, giving it a smooth and elegant appearance. The neckline is a simple A-shape, while the sleeve style is long and flowing. The length of the kurta extends down to the mid-calf, providing a modest yet stylish look. The overall silhouettes of the garments are graceful and flattering, making it an attractive choice for women'ss everyday wear."
5540,"The garment is a pair of wide-leg palazzosi, featuring a colorful and vibrant print. The fabric appears to be a lightweight and comfortable material, suitable for warm weather. The pattern on the palazzosis is a mix of different colors and designs, creating a visually striking and unique appearance. The silhouettes of the pants are loose and flowing, giving the wearer a relaxed and stylish look. The neckline is high, adding a touch of elegance to the overall design. The sleeve style is short, allowing for better airflow and comfort during hot weather."
6541,"The garment is a blue sherwani, featuring a floral pattern on the fabric."
771,"The garment is a gold-colored blouse with a unique design. It features a combination of gold and white colors, giving it a luxurious and elegant appearance. The blouse is made of a silk material, which adds to its sophisticated look. The pattern on the blouse consists of intricate embroidered designs, showcasing the attention to detail in its craftsmanship.

The blouse has a fitted silhouettes, which accentuates the wearer's figure. The neckline is a deep V-neck, adding a touch of glamour to the overall design."
3296,"The garment is a pack of two solid churidars, which are a type of legging and salwar combination. They are made of a comfortable and stretchy fabric, suitable for everyday wear. The churids are available in two different colors, red and white. The red churis have a bold and vibrant color, while the white churises have a more neutral and versatile appearance. The length of the churidas is knee-length, making them suitable for various occasions and outfits. The design is simple and elegant, with no embroideries or patterns, allowing them to be easily paired with different tops and outfit styles."
2347,"The garment is a long, elegant gown made of silk material with a floral pattern. The dress features a fitted silhouettes and a V-neckline, adding a touch of sophistication to its design. The sleeve style is long and flowing, enhancing the overall graceful appearance of the gown. The length of the dress is floor-length, making it suitable for formal occasions or special events. The combination of the silk fabric, floral print, and the fitted silouhette creates a visually appealing and stylish look."
1010,"The garment is a pair of off-white solid dhotis, featuring a loose and comfortable silhouettes. The fabric appears to be lightweight and breathable, suitable for warm weather. The pants have a wide-legged design, giving them a relaxed and stylish appearance. The dhoties are adorned with a simple, elegant embroidered detail on the side, adding a touch of sophistication to the overall look. The length of the pants is midi, covering the ankles and providing a modest yet fashionable look."
158,"The garment is a pink saree with a lace pattern, made from a satin blend fabric. The saree features a blouse piece that complements the overall design. The fabric has a smooth and shiny texture, giving it a luxurious appearance. The lace design adds a touch of elegance and intricacy to the saree. The silhouettes of the sarees are flowing and graceful, with a generous length that extends down to the floor. The neckline is adorned with a delicate lace detail, while the sleeve style is draped, creating a flattering and comfortable fit."
2713,"The garment is a men's long-sleeved cotton kurta, featuring a brown color with a checkered pattern. The fabric appears to be of a lightweight and comfortable material, suitable for warm weather. The neckline is a simple, round neck, while the sleeve style is a classic, long, and loose drape. The length of the kurta extends down to the mid-thigh, providing a generous coverage. The overall silhouettes of the garments are loose and flowing, giving the wearer a relaxed and comfortable fit."
173,"The garment is a vibrant pink saree with a floral pattern embroidered on it. The fabric appears to be chiffon, giving it a soft and flowing texture. The saree is designed in a traditional Rajasthan style, featuring a beautiful flower motif throughout the pattern. The silhouettes of the saree are graceful, with a generous amount of fabric that drapes elegantly around the body. The neckline is adorned with intricate embroideries, adding to the overall charm of the garmet. The length of the sari is suitable for a traditional Indian outfit, making it an ideal choice for special occasions or cultural events."
406,"The garment is a beautifully crafted saree by Selina Fashions. It features a unique combination of colors, including red, green, blue, and yellow, creating a visually striking checkered pattern. The saree is made from a luxurious blend of cotton and silk, giving it a smooth and elegant texture. The embroidered Jacquart design adds an extra touch of sophistication to the overall appearance. The silhouettes of the saree are flowing and graceful, with a generous length that complements the intricate patterns. The neckline is adorned with a delicate embellishment, further enhancing the garments' visual appeal."
7338,"The garment is a pink women's printed crepe A line kurti. The fabric is made of crepe, which gives it a slightly textured and smooth appearance. The pattern on the kurti features a floral design, adding a touch of elegance and femininity to the overall look. The neckline is a simple A-shape, which complements the flowing silhouettes of the garments. The sleeve style is long and drapes gracefully, enhancing the flattering fit of the kurta. The length of the dress is midi, making it suitable for various occasions and seasons."
3237,"The garment is a maroon solid ankle length legging, made of a soft and comfortable fabric. It features a slim-fit silhouettes and a high-waisted design, providing both style and support. The leggins have a smooth and sleek appearance, without any visible patterns or embossments. The neckline is a simple round neck, and the sleeve style is a short, fitted design that complements the overall look. The length of the leggin is anklet, which adds a touch of elegance to the outfit."
3102,"The garment is a pair of cotton solid Patialas, featuring a vibrant pink color. They are made of a soft and comfortable fabric, perfect for everyday wear. The Patialahas a loose and flowing silhouettes, with a wide-legged design that adds a touch of elegance to the outfit. The neckline is simple and elegant, while the sleeve style is long and draped, providing a flattering fit. The length of the Patialais ankle-length, making them suitable for both casual and formal occasions."
5265,"The garment is a men's blue Dhrahar cotton Nehru jacket or waistcoast, featuring a mandarin collar and sleeveless design. The fabric appears to be made of cotton, giving it a comfortable and casual feel. The jacket has a waist-length, which adds a stylish touch to the overall appearance. The pattern on the jacket is a checkered design, adding a touch of visual interest and making it stand out. The mandarin-style collar adds a unique and fashionable element to the garmet, making it a versatile and stylish choice for various occasions."
3822,"The garment is a pink and blue semi-stitch lehnga, featuring a woven design. The lehnda is paired with an unstitch blouse and a matching dupatta. The outfit is made of silk material, giving it a luxurious and elegant appearance. The neckline of the blouse is round, and the sleeve style is short, adding a stylish touch to the overall look. The length of the lehenda is floor-length, and it is adorned with intricate embroidered patterns, enhancing its visual appeal."
6742,"The garment is a turquoize sherwani, featuring a unique asymmetric dhoti style. The fabric is a silk jacquard, giving it a luxurious and intricate appearance. The sherwaani has a woven art pattern, adding to its visual appeal. The neckline is asymmetrical, and the sleeve style is draped, creating a stylish and elegant silhouettes. The length of the garmet is long, reaching down to the ankles, and it is paired with matching pants. The overall look is sophisticated and eye-catching, making it an excellent choice for formal or special occasions."
3188,"The Women's Pink Palazzo by Auerlia is a flowing, loose-fitting garment that features a unique combination of legging and salwar styles. The pants have a wide-leg silhouettes, giving them a comfortable and relaxed appearance. The fabric appears to be lightweight and breathable, making it suitable for warm weather or casual wear. The palazzo is adorned with a beautiful embroidered pattern, adding a touch of elegance and visual interest to the garmet. The neckline is high, and the sleeve style is long, providing coverage and a modest look."
1468,"The garment is a white and green striped dhotis, featuring a solid color scheme. The fabric appears to be made of cotton, giving it a comfortable and breathable feel. The dhoties have a traditional Indian design, with the green stripes adding a pop of color to the otherwise white fabric. The silhouettes of the dhotians are loose and flowing, providing a relaxed and comfortable fit. The neckline is simple, with no embellishment or intricate detailing. The length of the garments is suitable for regular wear, covering the wearer's lower half."
3654,"The garment is a red and gold lehnga, featuring a combination of red and yellow colors. The fabric appears to be silk, giving it a luxurious and elegant feel. The lehnda is adorned with intricate embroidered patterns, adding a touch of sophistication to the overall design. The silhouettes of the garments are flowing and graceful, with a fitted top and a full, floor-length skirt. The neckline is a low-cut style, enhancing the elegance of the outfit. The sleeve style is long and draped, complementing the overall flow of the lehgnda."
2482,"The garment is a blue, long, and flowing maxi gown. It features a beautifully embroidered pattern, giving it a unique and elegant appearance. The gown has a cotton fabric, making it comfortable and suitable for various occasions. The neckline is a simple yet elegant design, while the sleeve style is long, adding to the overall gracefulness of the dress. The length of the gown is floor-length, making the dress suitable for formal events or special occasions."
3950,"The garment is a navy blue lehnga, featuring a beautiful embroidered pattern. The lehnda is made to measure, ensuring a perfect fit for the wearer. The blouse is also blue and complements the lehgnga perfectly. The dupatta is a matching blue color, adding an elegant touch to the overall look. The silhouetted of the lehanga is graceful, with a flowing skirt that enhances the feminine appeal of the outfit. The neckline is adorned with intricate embroideries, further accentuating the beauty of the garmet."
1496,"The garment is a pair of white dhotis, made from 120 gsm 190 gm/m2 160 g/m² 140 gms/m^2 200 gs/m 150 g.m^3 180 g m^2 cotton fabric. The dhoties have a single length and are designed for casual wear, making them suitable for weddings, festivals, and other special occasions. The fabric is of high quality, ensuring a comfortable and durable fit."
7392,"The garment is a long, flowing green dress made of rayon material. It features a gold print design, giving it a stylish and elegant appearance. The dress has a unique silhouettes, with a flared skirt that adds volume and a touch of drama to the overall look. The neckline is high, adding a touch sophistication to the design. The sleeve style is long, covering the arms and complementing the overall length of the dress. The ankle-length hemline complements the overall silhouetted, making it a versatile and flattering choice for various occasions."
3566,"The garment is a red and beige embroidered unstitch lehnga choli with a dupatta. The lehna is made of silk material and features a beautiful embroided pattern. The choli is a fitted top that complements the lehena, creating a stylish and elegant look. The dupatta is a long, flowing piece that adds a touch of grace to the overall ensemble. The combination of red and gold colors gives the outfit a warm and vibrant appearance, making it perfect for special occasions or celebrations."
1337,"The garment is a pair of black pants, specifically designed as a slim fit cotton lycra trouser pant. They are made of a comfortable and stretchy fabric, suitable for both formal and casual occasions. The pants feature a unique design with two pockets, providing practical storage options. The silhouettes of the pants are tailored to fit the body snugly, creating a stylish and flattering appearance. The neckline is high, adding a touch of elegance to the overall look. The length of the garments is suitable for a wide range of heights, making them versatile and adaptable to various body types."
1235,"The garment is a blue men's silk self-design kurta and dhotis. The kurta features a self-designed pattern, giving it a unique and stylish appearance. The dhoties are also made of silk, complementing the kurta's fabric. The neckline of the kurata is round, and the sleeve style is long, providing a comfortable fit. The length of the garments is knee-length, making them suitable for various occasions. The combination of the blue color, silk material, and self-patterned design creates a sophisticated and elegant look for the wearer."
3895,"The garment is a black and gold lehnga, featuring a beautiful combination of black and brown colors. The fabric appears to be silk, giving it a luxurious and elegant feel. The lehnda has a unique pattern, with a mix of gold and brown embroidered designs that add a touch of sophistication to the outfit. The silhouettes of the lehgha are flowing and graceful, with the skirt extending outwards and the top draping over the body. The neckline is a simple yet elegant design, complementing the overall look of the garmet. The sleeve style is long, adding to the overall length of the outfits."
151,"The garment is a beautiful green saree with a blended silk material, giving it a soft and luxurious feel. The saree features a heavy blouse that complements the saree perfectly. The color of the sare is a vibrant shade of green, making it an eye-catching and elegant piece. The pattern on the sare includes intricate embroidered designs, adding a touch of sophistication to the overall look. The silhouettes of the garments are flowing and graceful, with a generous length that adds to the grandeur of the outfit."
3525,"The garment is a beautifully crafted lehnga, featuring a combination of pink and green colors. The fabric appears to be a delicate and intricate embroidered material, giving the outfit a luxurious and elegant touch. The lehnda has a unique and eye-catching pattern, with a mix of zigzag and diamond shapes. The silhouettes of the garments are flowing and graceful, with the lehna reaching down to the floor, creating a dramatic and captivating appearance. The neckline is adorned with a beautiful embellishment, adding a touch of sophistication to the overall design."
296,"The garment is a peach-colored saree made of faux georgetti fabric. It features a chikankar pattern, which adds a touch of elegance and intricacy to the design. The saree has a long length, making it suitable for various occasions. The neckline is a simple yet stylish design, while the sleeve style is a draped style, which complements the overall look of the saree. The blouse included with the sare is also made of the same fabric, creating a cohesive and harmonious outfit."
2391,"The garment is a white and brown polka dot dress, featuring a digital print design. The dress is made of cotton slub fabric and has a silk shrug that adds an elegant touch to the overall look. The neckline is a simple round neck, while the sleeve style is long and flowing. The length of the dress is floor-length, giving it a graceful and sophisticated appearance. The combination of the polka dots and the silk accents creates a visually appealing and stylish outfit."
2219,"The Women's Pink Straight Gown by Divana is a beautifully crafted garment that exudes elegance and style. The gown features a vibrant pink color, which is complemented by the orange and yellow accents on the fabric. The fabric appears to be of high quality, with a silky texture that adds to the gown's overall appeal.

The gown has a straight silhouettes, which gives it a modern and sophisticated look. The neckline is a simple yet elegant design, allowing the pink hue to stand out. The sleeve style is long and flowing, adding a touch of grace to the overall appearance."
3239,"The garment is a pair of green Patialas, which are a type of loose-fitting pants. They are made of a lightweight, comfortable fabric and feature a distinctive embroidered pattern on the front. The pants have a wide-leg silhouettes, giving them a flowing and elegant appearance. The neckline is high, and the sleeve style is a draped, adding to the overall style and comfort of the garments. The length of the pants is ankle-length, making them suitable for various occasions and seasons."
423,"The garment is a saree made of soft lichi silk jacquard work. It features a blue and red color combination, with a pattern that adds visual interest to the fabric. The saree has a unique silhouettes and a stylish neckline that enhances its overall appearance. The sleeve style is draped, which complements the saree's elegant design. The length of the sare is suitable for a comfortable fit, and it is adorned with intricate embroideries that add a touch of sophistication to the garmet."
3882,"The garment is a blue and pink lehnga, featuring a combination of green and pearl embroidered patterns. The lehna is made of silk, giving it a luxurious and elegant appearance. The neckline is a deep V-shape, adding a touch of sophistication to the overall design. The sleeve style is long and flowing, with a draped effect that complements the full-skirted silhouettes of the lehena. The length of the garmet is floor-length, making it suitable for formal occasions or special events."
602,"The garment is a yellow blouse made of a stretchable cotton and lycra fabric. It features a patterned design, giving it a stylish and unique appearance. The blouse has a fitted silhouettes, accentuating the wearer's figure. The neckline is a V-neck, adding a touch of elegance to the overall look. The sleeve style is short, providing a comfortable and casual feel. The length of the blouse is short and reaches the waist, making it suitable for various occasions. The garmet is embellished with a pair of earrings, adding an extra touch of glamour to the outfit."
5308,"The garment is a blue and white shirt, featuring a unique pattern or design. It has a collared neckline and long sleeve, giving it a classic and elegant appearance. The shirt is made of a lightweight fabric, suitable for warm weather or casual wear. The combination of blue and green colors, along with the intricate pattern, adds a touch of sophistication and style to the overall look."
